Район,Цена,Цена / кв.м.,Валута,Тип Апартамент
Левски В,154885.06,1467.64,EUR,Тристаен апартамент
Левски Г,156700.00,1768.62,EUR,Тристаен апартамент
Лозенец,449972.12,3210.08,EUR,Тристаен апартамент
Люлин 1,125142.86,1569.89,EUR,Тристаен апартамент
Люлин 10,200416.67,1576.02,EUR,Тристаен апартамент
Люлин 2,165741.81,1343.50,EUR,Тристаен апартамент
Люлин 3,168466.67,1940.12,EUR,Тристаен апартамент
Люлин 4,160833.33,1937.75,EUR,Тристаен апартамент
Люлин 5,149162.67,1404.88,EUR,Тристаен апартамент
Люлин 6,149498.50,1670.37,EUR,Тристаен апартамент
Люлин 7,166950.00,2086.88,EUR,Тристаен апартамент
Люлин 8,138788.95,1479.21,EUR,Тристаен апартамент
Люлин 9,137174.41,1428.47,EUR,Тристаен апартамент
Люлин Център,179739.19,1640.30,EUR,Тристаен апартамент
м-т Гърдова глава,239023.33,2439.01,EUR,Тристаен апартамент
м-т Детски град,244000.00,2392.16,EUR,Тристаен апартамент
Малинова Долина,199562.94,1333.52,EUR,Тристаен апартамент
Малинова долина в.з.,464500.00,2369.90,EUR,Тристаен апартамент
Манастирски ливади Запад,263887.50,1887.44,EUR,Тристаен апартамент
Манастирски ливади Изток,253446.28,2219.32,EUR,Тристаен апартамент
Младост 1,215677.05,2239.21,EUR,Тристаен апартамент
Младост 1а,257550.00,2435.46,EUR,Тристаен апартамент
Младост 2,238202.42,2007.32,EUR,Тристаен апартамент
Младост 3,183164.00,1936.19,EUR,Тристаен апартамент
Младост 4,198781.86,1807.65,EUR,Тристаен апартамент
Мусагеница,209953.33,2202.31,EUR,Тристаен апартамент
Надежда 1,193999.89,1910.28,EUR,Тристаен апартамент
Надежда 2,160987.73,1788.75,EUR,Тристаен апартамент
Надежда 3,144778.00,1667.95,EUR,Тристаен апартамент
Надежда 4,138071.83,1631.15,EUR,Тристаен апартамент
Обеля,145825.00,1559.63,EUR,Тристаен апартамент
Обеля 1,137411.14,1388.63,EUR,Тристаен апартамент
Обеля 2,136975.00,1733.86,EUR,Тристаен апартамент
Оборище,382795.62,2954.78,EUR,Тристаен апартамент
Овча Купел,186787.09,1692.40,EUR,Тристаен апартамент
Овча Купел 1,170791.05,1583.44,EUR,Тристаен апартамент
Овча Купел 2,178620.97,1579.22,EUR,Тристаен апартамент
Павлово,226261.53,1897.68,EUR,Тристаен апартамент
Подуене,202206.45,1932.47,EUR,Тристаен апартамент
Полигона,230692.86,1876.60,EUR,Тристаен апартамент
Разсадника,198818.19,1845.57,EUR,Тристаен апартамент
Редута,239568.12,2174.98,EUR,Тристаен апартамент
Света Троица,177335.00,1908.88,EUR,Тристаен апартамент
Свобода,137100.00,1566.86,EUR,Тристаен апартамент
Сердика,255431.78,2020.11,EUR,Тристаен апартамент
Симеоново,278956.25,2195.27,EUR,Тристаен апартамент
Славия,197508.00,1607.39,EUR,Тристаен апартамент
Слатина,156558.92,1519.99,EUR,Тристаен апартамент
Стрелбище,323099.59,2734.27,EUR,Тристаен апартамент
Студентски Град,202976.98,1678.87,EUR,Тристаен апартамент
Суха Река,216323.27,1955.62,EUR,Тристаен апартамент
Толстой,146430.59,1681.18,EUR,Тристаен апартамент
Хаджи Димитър,206412.53,1951.23,EUR,Тристаен апартамент
Хиподрума,280814.16,2444.90,EUR,Тристаен апартамент
Хладилника,342459.75,2653.52,EUR,Тристаен апартамент
Център,304702.28,2711.41,EUR,Тристаен апартамент
Яворов,283216.00,2720.61,EUR,Тристаен апартамент
Банкя (гр.),482236.47,1447.83,EUR,Къща
Бенковски,360000.00,4390.24,EUR,Къща
Бояна,986415.00,2497.59,EUR,Къща
Бъкстон,767500.00,2178.85,EUR,Къща
Витоша,481000.00,1328.73,EUR,Къща
