Район,Цена,Цена / кв.м.,Валута,Тип Апартамент,Дата
Дружба 2,88777.50,1571.28,EUR,"Ателие, таван, студио",2024-01-10
Илинден,66000.00,942.86,EUR,"Ателие, таван, студио",2024-01-10
Лозенец,101473.00,3902.81,EUR,"Ателие, таван, студио",2024-01-10
Люлин 10,47000.00,2238.09,EUR,"Ателие, таван, студио",2024-01-10
Младост 4,136000.00,1700.00,EUR,"Ателие, таван, студио",2024-01-10
Обеля,63261.00,903.73,EUR,"Ателие, таван, студио",2024-01-10
Оборище,200000.00,2564.10,EUR,"Ателие, таван, студио",2024-01-10
Овча Купел,102762.00,1317.46,EUR,"Ателие, таван, студио",2024-01-10
Овча Купел 2,230090.00,1818.89,EUR,"Ателие, таван, студио",2024-01-10
Студентски Град,69313.00,2100.39,EUR,"Ателие, таван, студио",2024-01-10
Суха Река,82500.00,2062.50,EUR,"Ателие, таван, студио",2024-01-10
Хаджи Димитър,72000.00,1384.61,EUR,"Ателие, таван, студио",2024-01-10
Център,154725.00,2436.61,EUR,"Ателие, таван, студио",2024-01-10
Банишора,210419.00,2033.03,EUR,Многостаен апартамемент,2024-01-10
Банкя (гр.),385333.34,2253.41,EUR,Многостаен апартамемент,2024-01-10
Белите Брези,353750.00,2015.67,EUR,Многостаен апартамемент,2024-01-10
Борово,269000.00,1345.00,EUR,Многостаен апартамемент,2024-01-10
Бояна,531792.38,2332.15,EUR,Многостаен апартамемент,2024-01-10
Бъкстон,314589.75,1429.95,EUR,Многостаен апартамемент,2024-01-10
Витоша,420346.28,1807.56,EUR,Многостаен апартамемент,2024-01-10
Гео Милев,421400.00,2508.33,EUR,Многостаен апартамемент,2024-01-10
Горна Баня,330000.00,1466.67,EUR,Многостаен апартамемент,2024-01-10
Дианабад,303500.00,1850.61,EUR,Многостаен апартамемент,2024-01-10
Драгалевци,676222.25,2072.18,EUR,Многостаен апартамемент,2024-01-10
Дружба 1,600362.00,1644.83,EUR,Многостаен апартамемент,2024-01-10
Дружба 2,326000.00,2162.52,EUR,Многостаен апартамемент,2024-01-10
Дървеница,240000.00,2033.90,EUR,Многостаен апартамемент,2024-01-10
Зона Б18,282100.00,1550.00,EUR,Многостаен апартамемент,2024-01-10
Зона Б19,267500.00,1966.91,EUR,Многостаен апартамемент,2024-01-10
Иван Вазов,966802.88,4154.46,EUR,Многостаен апартамемент,2024-01-10
Изток,566277.75,2163.20,EUR,Многостаен апартамемент,2024-01-10
Красна Поляна,181576.83,1250.82,EUR,Многостаен апартамемент,2024-01-10
Красно Село,450863.81,2060.62,EUR,Многостаен апартамемент,2024-01-10
Кръстова Вада,553152.75,2314.27,EUR,Многостаен апартамемент,2024-01-10
Лагера,415675.00,1933.37,EUR,Многостаен апартамемент,2024-01-10
Лозенец,675284.75,2652.84,EUR,Многостаен апартамемент,2024-01-10
Люлин 2,203816.17,1468.17,EUR,Многостаен апартамемент,2024-01-10
Люлин 5,171899.91,1296.38,EUR,Многостаен апартамемент,2024-01-10
Люлин 7,175000.00,1458.33,EUR,Многостаен апартамемент,2024-01-10
Люлин 8,237753.00,1476.73,EUR,Многостаен апартамемент,2024-01-10
Люлин 9,229940.00,1158.39,EUR,Многостаен апартамемент,2024-01-10
Малинова Долина,379576.47,1963.33,EUR,Многостаен апартамемент,2024-01-10
