Район,Цена,Цена / кв.м.,Валута,Тип Апартамент,Дата
Манастирски ливади Запад,324971.81,1715.80,EUR,Многостаен апартамемент,2024-01-10
Манастирски ливади Изток,430085.84,2306.09,EUR,Многостаен апартамемент,2024-01-10
Младост 1,361500.00,1677.49,EUR,Многостаен апартамемент,2024-01-10
Младост 1а,170000.00,1888.89,EUR,Многостаен апартамемент,2024-01-10
Младост 2,388104.81,2160.94,EUR,Многостаен апартамемент,2024-01-10
Младост 4,274491.81,1762.95,EUR,Многостаен апартамемент,2024-01-10
Надежда 2,171975.00,1556.33,EUR,Многостаен апартамемент,2024-01-10
Обеля 2,144900.00,1174.23,EUR,Многостаен апартамемент,2024-01-10
Оборище,475260.00,2700.34,EUR,Многостаен апартамемент,2024-01-10
Овча Купел,265125.00,1491.86,EUR,Многостаен апартамемент,2024-01-10
Овча Купел 1,193300.00,1656.86,EUR,Многостаен апартамемент,2024-01-10
Овча Купел 2,222626.80,1382.78,EUR,Многостаен апартамемент,2024-01-10
Редута,339990.00,1075.92,EUR,Многостаен апартамемент,2024-01-10
Света Троица,160000.00,1568.63,EUR,Многостаен апартамемент,2024-01-10
Симеоново,463301.00,2085.60,EUR,Многостаен апартамемент,2024-01-10
Слатина,205300.00,1555.30,EUR,Многостаен апартамемент,2024-01-10
Стрелбище,363842.84,1863.13,EUR,Многостаен апартамемент,2024-01-10
Студентски Град,393000.00,1666.67,EUR,Многостаен апартамемент,2024-01-10
Суха Река,307251.81,1875.77,EUR,Многостаен апартамемент,2024-01-10
Хаджи Димитър,289813.25,1854.81,EUR,Многостаен апартамемент,2024-01-10
Хиподрума,258500.00,2101.63,EUR,Многостаен апартамемент,2024-01-10
Хладилника,624088.00,2234.47,EUR,Многостаен апартамемент,2024-01-10
Център,602106.50,3024.27,EUR,Многостаен апартамемент,2024-01-10
Яворов,520000.00,2929.58,EUR,Многостаен апартамемент,2024-01-10
7-ми 11-ти километър,114494.57,1676.70,EUR,Двустаен апартамент,2023-11-19
Банишора,118273.42,1750.11,EUR,Двустаен апартамент,2023-11-19
Банкя (гр.),105000.00,1810.34,EUR,Двустаен апартамент,2023-11-19
Белите Брези,151133.33,2405.31,EUR,Двустаен апартамент,2023-11-19
Бенковски,98500.00,1448.53,EUR,Двустаен апартамент,2023-11-19
Борово,149058.25,2235.87,EUR,Двустаен апартамент,2023-11-19
Бояна,161307.08,2040.21,EUR,Двустаен апартамент,2023-11-19
Бъкстон,160222.33,2023.86,EUR,Двустаен апартамент,2023-11-19
Витоша,127236.52,1737.81,EUR,Двустаен апартамент,2023-11-19
Врана - Лозен в.з.,67000.00,1288.46,EUR,Двустаен апартамент,2023-11-19
Гео Милев,183875.00,2576.18,EUR,Двустаен апартамент,2023-11-19
Горна Баня,134573.59,1770.70,EUR,Двустаен апартамент,2023-11-19
Гоце Делчев,172671.28,2393.46,EUR,Двустаен апартамент,2023-11-19
Дианабад,189705.08,2298.29,EUR,Двустаен апартамент,2023-11-19
Драгалевци,212986.44,2344.63,EUR,Двустаен апартамент,2023-11-19
Дружба,72805.00,1733.45,EUR,Двустаен апартамент,2023-11-19
Дружба 1,105853.89,1638.43,EUR,Двустаен апартамент,2023-11-19
Дружба 2,117785.48,1519.97,EUR,Двустаен апартамент,2023-11-19
Дървеница,128953.41,1845.18,EUR,Двустаен апартамент,2023-11-19
Западен Парк,250988.78,4055.47,EUR,Двустаен апартамент,2023-11-19
Захарна Фабрика,97211.11,1830.33,EUR,Двустаен апартамент,2023-11-19
Зона Б18,158279.09,2217.93,EUR,Двустаен апартамент,2023-11-19
Зона Б19,139024.75,1881.89,EUR,Двустаен апартамент,2023-11-19
Зона Б5,150643.06,2324.29,EUR,Двустаен апартамент,2023-11-19
Иван Вазов,219666.67,3022.93,EUR,Двустаен апартамент,2023-11-19
Изгрев,253051.42,3113.11,EUR,Двустаен апартамент,2023-11-19
Изток,207812.50,2734.38,EUR,Двустаен апартамент,2023-11-19
Илинден,103565.00,1500.94,EUR,Двустаен апартамент,2023-11-19
Княжево,112836.00,1677.86,EUR,Двустаен апартамент,2023-11-19
Красна Поляна,89460.10,1450.29,EUR,Двустаен апартамент,2023-11-19
Красно Село,148206.81,1822.68,EUR,Двустаен апартамент,2023-11-19
Кръстова Вада,156620.22,1970.75,EUR,Двустаен апартамент,2023-11-19
Лагера,163475.53,2117.82,EUR,Двустаен апартамент,2023-11-19
Левски,92832.43,1316.77,EUR,Двустаен апартамент,2023-11-19
Левски В,90561.43,1152.60,EUR,Двустаен апартамент,2023-11-19
Левски Г,136685.72,1876.08,EUR,Двустаен апартамент,2023-11-19
Лозенец,226840.91,2881.19,EUR,Двустаен апартамент,2023-11-19
Люлин 1,192787.50,3316.77,EUR,Двустаен апартамент,2023-11-19
Люлин 10,102854.55,1545.63,EUR,Двустаен апартамент,2023-11-19
Люлин 2,93077.25,1463.86,EUR,Двустаен апартамент,2023-11-19
Люлин 3,99715.70,1451.47,EUR,Двустаен апартамент,2023-11-19
Люлин 4,88914.29,1414.55,EUR,Двустаен апартамент,2023-11-19
Люлин 5,80943.27,1399.60,EUR,Двустаен апартамент,2023-11-19
Люлин 6,99103.18,1364.37,EUR,Двустаен апартамент,2023-11-19
Люлин 7,100780.00,1774.30,EUR,Двустаен апартамент,2023-11-19
Люлин 8,98616.93,1549.54,EUR,Двустаен апартамент,2023-11-19
Люлин 9,112741.84,1591.65,EUR,Двустаен апартамент,2023-11-19
Люлин Център,127203.12,1916.43,EUR,Двустаен апартамент,2023-11-19
м-т Гърдова глава,144375.00,1839.17,EUR,Двустаен апартамент,2023-11-19
Малинова Долина,112014.51,1577.67,EUR,Двустаен апартамент,2023-11-19
Малинова долина в.з.,100400.00,1455.07,EUR,Двустаен апартамент,2023-11-19
Манастирски ливади Запад,193373.33,2437.48,EUR,Двустаен апартамент,2023-11-19
Манастирски ливади Изток,130087.14,1803.19,EUR,Двустаен апартамент,2023-11-19
Младост 1,135546.16,2073.06,EUR,Двустаен апартамент,2023-11-19
Младост 1а,150440.00,2434.30,EUR,Двустаен апартамент,2023-11-19
Младост 2,143980.12,2129.10,EUR,Двустаен апартамент,2023-11-19
Младост 3,137890.42,1907.57,EUR,Двустаен апартамент,2023-11-19
Младост 4,124962.06,1832.03,EUR,Двустаен апартамент,2023-11-19
Мотописта,152500.00,2006.58,EUR,Двустаен апартамент,2023-11-19
Мусагеница,127000.00,1984.38,EUR,Двустаен апартамент,2023-11-19
Надежда 1,113197.79,1804.98,EUR,Двустаен апартамент,2023-11-19
Надежда 2,114932.42,1626.40,EUR,Двустаен апартамент,2023-11-19
Надежда 3,105520.00,1422.10,EUR,Двустаен апартамент,2023-11-19
Надежда 4,92695.74,1410.06,EUR,Двустаен апартамент,2023-11-19
Обеля,87368.00,1296.26,EUR,Двустаен апартамент,2023-11-19
Обеля 1,133725.00,1682.07,EUR,Двустаен апартамент,2023-11-19
Обеля 2,90259.09,1486.30,EUR,Двустаен апартамент,2023-11-19
Оборище,189526.64,2803.11,EUR,Двустаен апартамент,2023-11-19
Овча Купел,117664.39,1573.29,EUR,Двустаен апартамент,2023-11-19
Овча Купел 1,98826.10,1611.76,EUR,Двустаен апартамент,2023-11-19
Овча Купел 2,113905.00,1593.52,EUR,Двустаен апартамент,2023-11-19
Павлово,150847.22,1900.10,EUR,Двустаен апартамент,2023-11-19
Подуене,135150.20,1967.25,EUR,Двустаен апартамент,2023-11-19
Полигона,131192.14,1847.78,EUR,Двустаен апартамент,2023-11-19
Разсадника,163160.06,2122.41,EUR,Двустаен апартамент,2023-11-19
Редута,141674.20,1857.61,EUR,Двустаен апартамент,2023-11-19
Света Троица,125653.16,2023.94,EUR,Двустаен апартамент,2023-11-19
Свобода,95887.78,1508.72,EUR,Двустаен апартамент,2023-11-19
Сердика,130650.34,1753.70,EUR,Двустаен апартамент,2023-11-19
Симеоново,154102.58,2009.31,EUR,Двустаен апартамент,2023-11-19
Славия,144453.50,2469.29,EUR,Двустаен апартамент,2023-11-19
Слатина,136497.80,2093.52,EUR,Двустаен апартамент,2023-11-19
Стрелбище,194050.00,2649.15,EUR,Двустаен апартамент,2023-11-19
Студентски Град,130007.60,880.25,EUR,Двустаен апартамент,2023-11-19
Суха Река,126719.62,1920.90,EUR,Двустаен апартамент,2023-11-19
Толстой,116576.00,1662.40,EUR,Двустаен апартамент,2023-11-19
Факултета,133000.00,1583.33,EUR,Двустаен апартамент,2023-11-19
Фондови Жилища,100899.00,1648.68,EUR,Двустаен апартамент,2023-11-19
Хаджи Димитър,116228.73,1637.02,EUR,Двустаен апартамент,2023-11-19
Хиподрума,144708.50,1682.66,EUR,Двустаен апартамент,2023-11-19
Хладилника,176381.81,2219.91,EUR,Двустаен апартамент,2023-11-19
Център,181003.84,2516.58,EUR,Двустаен апартамент,2023-11-19
Яворов,152450.00,2458.87,EUR,Двустаен апартамент,2023-11-19
7-ми 11-ти километър,172077.20,1620.31,EUR,Тристаен апартамент,2023-11-19
Банишора,187892.41,1880.58,EUR,Тристаен апартамент,2023-11-19
Банкя (гр.),196857.00,1188.95,EUR,Тристаен апартамент,2023-11-19
Белите Брези,244362.55,2319.23,EUR,Тристаен апартамент,2023-11-19
Борово,228837.69,2470.84,EUR,Тристаен апартамент,2023-11-19
Бояна,287670.22,2221.79,EUR,Тристаен апартамент,2023-11-19
Бъкстон,201129.00,1913.09,EUR,Тристаен апартамент,2023-11-19
Витоша,233986.70,1923.74,EUR,Тристаен апартамент,2023-11-19
Гевгелийски,140000.00,1707.32,EUR,Тристаен апартамент,2023-11-19
Гео Милев,258536.27,2401.94,EUR,Тристаен апартамент,2023-11-19
Горна Баня,188681.47,1779.13,EUR,Тристаен апартамент,2023-11-19
Гоце Делчев,247476.23,2211.64,EUR,Тристаен апартамент,2023-11-19
Дианабад,302363.72,2421.39,EUR,Тристаен апартамент,2023-11-19
Драгалевци,253772.17,1901.10,EUR,Тристаен апартамент,2023-11-19
Дружба 1,137492.50,1257.28,EUR,Тристаен апартамент,2023-11-19
Дружба 2,179677.95,1606.10,EUR,Тристаен апартамент,2023-11-19
Дървеница,187811.84,1836.07,EUR,Тристаен апартамент,2023-11-19
Западен Парк,150000.00,2083.33,EUR,Тристаен апартамент,2023-11-19
Захарна Фабрика,128290.00,1641.24,EUR,Тристаен апартамент,2023-11-19
Зона Б18,216376.00,1958.15,EUR,Тристаен апартамент,2023-11-19
Зона Б19,236197.22,1869.64,EUR,Тристаен апартамент,2023-11-19
Зона Б5,257662.75,2162.96,EUR,Тристаен апартамент,2023-11-19
Иван Вазов,367500.00,2578.95,EUR,Тристаен апартамент,2023-11-19
Изгрев,339633.09,2960.43,EUR,Тристаен апартамент,2023-11-19
Изток,364772.75,3083.61,EUR,Тристаен апартамент,2023-11-19
Илинден,178932.78,1903.54,EUR,Тристаен апартамент,2023-11-19
Илиянци,170000.00,2000.00,EUR,Тристаен апартамент,2023-11-19
Княжево,192377.33,1698.45,EUR,Тристаен апартамент,2023-11-19
Красна Поляна,122773.91,1394.39,EUR,Тристаен апартамент,2023-11-19
Красно Село,223157.55,1793.74,EUR,Тристаен апартамент,2023-11-19
Кръстова Вада,239037.92,1886.47,EUR,Тристаен апартамент,2023-11-19
Лагера,215203.33,1878.14,EUR,Тристаен апартамент,2023-11-19
Левски,130109.30,1314.23,EUR,Тристаен апартамент,2023-11-19
Левски В,146531.67,1233.43,EUR,Тристаен апартамент,2023-11-19
Левски Г,134000.00,1740.26,EUR,Тристаен апартамент,2023-11-19
Лозенец,422988.56,3116.52,EUR,Тристаен апартамент,2023-11-19
Люлин 1,119863.63,1248.58,EUR,Тристаен апартамент,2023-11-19
Люлин 10,155725.00,1401.35,EUR,Тристаен апартамент,2023-11-19
Люлин 2,154571.25,1551.14,EUR,Тристаен апартамент,2023-11-19
Люлин 3,149199.53,1540.26,EUR,Тристаен апартамент,2023-11-19
