Район,Цена,Цена / кв.м.,Валута,Тип Апартамент,Дата
м-т Детски град,950560.00,1860.65,EUR,Къща,2022-07-28
Малашевци,150000.00,1666.67,EUR,Къща,2022-07-28
Малинова Долина,678874.69,1569.02,EUR,Къща,2022-07-28
Малинова долина в.з.,545000.00,1048.08,EUR,Къща,2022-07-28
Манастирски ливади Запад,1215833.38,2312.94,EUR,Къща,2022-07-28
Манастирски ливади Изток,728333.31,1682.06,EUR,Къща,2022-07-28
Младост 1а,790000.00,1555.12,EUR,Къща,2022-07-28
Надежда 1,285000.00,1011.83,EUR,Къща,2022-07-28
Надежда 4,345000.00,1321.84,EUR,Къща,2022-07-28
Оборище,579122.50,2117.45,EUR,Къща,2022-07-28
Овча Купел,325000.00,1354.17,EUR,Къща,2022-07-28
Овча Купел 2,310000.00,1614.58,EUR,Къща,2022-07-28
Павлово,329000.00,956.40,EUR,Къща,2022-07-28
Редута,456663.00,1772.30,EUR,Къща,2022-07-28
Симеоново,631535.94,1851.76,EUR,Къща,2022-07-28
Толстой,345000.00,1131.15,EUR,Къща,2022-07-28
Център,529999.38,2007.10,EUR,Къща,2022-07-28
Яворов,2033333.38,3096.45,EUR,Къща,2022-07-28
Банишора,33000.00,1157.90,EUR,"Гараж, паркомясто",2022-07-28
Белите Брези,35000.00,1944.44,EUR,"Гараж, паркомясто",2022-07-28
Борово,27000.00,1350.00,EUR,"Гараж, паркомясто",2022-07-28
Бъкстон,20999.50,1555.52,EUR,"Гараж, паркомясто",2022-07-28
Витоша,28775.00,1085.85,EUR,"Гараж, паркомясто",2022-07-28
Гео Милев,28500.00,1781.25,EUR,"Гараж, паркомясто",2022-07-28
Гоце Делчев,40250.00,1518.87,EUR,"Гараж, паркомясто",2022-07-28
Дървеница,24133.33,1316.37,EUR,"Гараж, паркомясто",2022-07-28
Зона Б19,15000.00,1071.43,EUR,"Гараж, паркомясто",2022-07-28
Зона Б5,25000.00,1388.89,EUR,"Гараж, паркомясто",2022-07-28
Красно Село,34000.00,1096.77,EUR,"Гараж, паркомясто",2022-07-28
Кръстова Вада,33000.00,868.42,EUR,"Гараж, паркомясто",2022-07-28
Левски,36000.00,1309.09,EUR,"Гараж, паркомясто",2022-07-28
Левски В,22000.00,733.33,EUR,"Гараж, паркомясто",2022-07-28
Лозенец,35000.00,1505.38,EUR,"Гараж, паркомясто",2022-07-28
Люлин 6,11500.00,884.61,EUR,"Гараж, паркомясто",2022-07-28
Люлин Център,13750.00,833.33,EUR,"Гараж, паркомясто",2022-07-28
Малинова Долина,24750.00,811.47,EUR,"Гараж, паркомясто",2022-07-28
Младост 1а,30000.00,1428.57,EUR,"Гараж, паркомясто",2022-07-28
Павлово,23220.00,1032.00,EUR,"Гараж, паркомясто",2022-07-28
Редута,6500.00,812.50,EUR,"Гараж, паркомясто",2022-07-28
Слатина,14000.00,560.00,EUR,"Гараж, паркомясто",2022-07-28
Студентски Град,26357.14,1025.00,EUR,"Гараж, паркомясто",2022-07-28
Суха Река,53390.00,970.73,EUR,"Гараж, паркомясто",2022-07-28
Хиподрума,54990.00,1374.75,EUR,"Гараж, паркомясто",2022-07-28
Център,40666.67,1402.30,EUR,"Гараж, паркомясто",2022-07-28
Зона Б18,69990.00,1794.61,EUR,"Ателие, таван, студио",2022-07-28
Илинден,82000.00,1123.29,EUR,"Ателие, таван, студио",2022-07-28
Княжево,29990.00,1578.42,EUR,"Ателие, таван, студио",2022-07-28
Лозенец,179890.00,1223.74,EUR,"Ателие, таван, студио",2022-07-28
Люлин 2,72696.00,1166.25,EUR,"Ателие, таван, студио",2022-07-28
Младост 2,180000.00,1698.11,EUR,"Ателие, таван, студио",2022-07-28
Овча Купел,102700.00,1300.00,EUR,"Ателие, таван, студио",2022-07-28
Овча Купел 2,124000.00,1240.00,EUR,"Ателие, таван, студио",2022-07-28
Павлово,53942.00,1634.61,EUR,"Ателие, таван, студио",2022-07-28
Слатина,99400.00,2424.39,EUR,"Ателие, таван, студио",2022-07-28
