Район,Едностайни - цена,Едностайни - €/кв.м,Двустайни - цена,Двустайни - €/кв.м,Тристайни - цена,Тристайни - €/кв.м,Общо - €/кв.м,Дата
в.з.Американски колеж,NaN,NaN,39 900,570,202 540,1 974,570,6.8.2024
в.з.Беловодски път,NaN,NaN,171 000,1 858,NaN,NaN,1 858,6.8.2024
в.з.Бояна,NaN,NaN,133 712,1 788,192 660,1 852,1 976,6.8.2024
в.з.Бункера,NaN,NaN,NaN,NaN,190 000,1 357,1 357,6.8.2024
в.з.Врана - Лозен,13 898,397,22 051,400,220 400,2 139,848,6.8.2024
в.з.Киноцентъра,NaN,NaN,296 400,1 829,323 095,2 445,2 445,6.8.2024
в.з.Киноцентъра 3 част,NaN,NaN,194 598,1 482,248 292,1 254,1 710,6.8.2024
в.з.Малинова долина,123 500,2 205,135 850,1 632,285 000,2 040,2 050,6.8.2024
в.з.Малинова долина - Герена,NaN,NaN,NaN,NaN,NaN,NaN,1 702,6.8.2024
в.з.Симеоново - Драгалевци,NaN,NaN,NaN,NaN,256 044,2 047,1 954,6.8.2024
гр. Банкя,70 300,1 562,114 000,1 662,152 475,1 419,1 564,6.8.2024
гр. Бухово,94 050,1 710,56 049,1 013,114 000,1 181,1 120,6.8.2024
гр. Нови Искър,NaN,NaN,52 250,816,153 900,1 361,1 361,6.8.2024
ж.гр.Зоопарк,NaN,NaN,63 650,826,94 050,810,818,6.8.2024
ж.гр.Южен парк,NaN,NaN,NaN,NaN,425 730,2 756,2 850,6.8.2024
м-т Гърдова глава,100 609,1 734,109 609,1 667,204 250,1 791,1 746,6.8.2024
м-т Детски град,NaN,NaN,137 750,1 683,204 250,1 834,1 662,6.8.2024
м-т Камбаните,NaN,NaN,283 629,2 324,204 250,1 873,1 873,6.8.2024
м-т яз. Искър,NaN,NaN,NaN,NaN,95 950,1 072,1 072,6.8.2024
с. Бистрица,NaN,NaN,NaN,NaN,186 675,1 777,1 714,6.8.2024
с. Владая,45 583,1 266,76 000,1 245,95 922,1 245,1 245,6.8.2024
с. Волуяк,NaN,NaN,66 500,503,66 500,503,503,6.8.2024
с. Герман,NaN,NaN,109 915,1 353,179 778,1 569,1 495,6.8.2024
с. Доброславци,NaN,NaN,NaN,NaN,NaN,NaN,855,6.8.2024
с. Иваняне,NaN,NaN,NaN,NaN,222 300,2 223,2 223,6.8.2024
с. Казичене,NaN,NaN,85 476,1 075,98 358,1 080,1 078,6.8.2024
с. Лозен,76 928,1 361,99 436,1 356,162 447,1 320,1 354,6.8.2024
с. Мало Бучино,NaN,NaN,NaN,NaN,114 000,1 027,1 027,6.8.2024
с. Мировяне,NaN,NaN,66 500,1 330,NaN,NaN,1 330,6.8.2024
с. Мърчаево,NaN,NaN,26 600,266,35 862,297,297,6.8.2024
с. Панчарево,NaN,NaN,152 000,2 018,211 170,1 890,1 900,6.8.2024
с. Световрачене,37 050,771,NaN,NaN,156 750,1 741,1 256,6.8.2024
7-ми 11-ти километър,NaN,NaN,107 011,1 587,156 899,1 488,1 587,25.7.2023
Банишора,47 120,1 170,91 750,1 467,134 321,1 347,1 406,25.7.2023
Белите брези,76 000,2 067,80 275,1 121,161 500,1 658,1 472,25.7.2023
Бенковски,NaN,NaN,90 155,1 325,97 375,1 023,1 196,25.7.2023
Борово,74 100,1 539,103 075,1 522,142 500,1 604,1 517,25.7.2023
Ботунец,14 250,309,25 911,418,53 674,560,423,25.7.2023
Ботунец 2,66 500,1 330,58 419,838,65 550,723,799,25.7.2023
